,ori,,,
1582891723760,118.60608,-22.117691,-5.584737,DATA
1582891723780,118.9577,-18.324862,-5.935178,DATA
1582891723799,119.42981,-18.133183,-5.8454094,DATA
1582891723821,119.47818,-21.409107,-6.0748706,DATA
1582891723840,119.360504,-21.656767,-5.7493134,DATA
1582891723862,119.67737,-19.698965,-5.715932,DATA
1582891723880,119.81134,-20.009035,-5.6357126,DATA
1582891723905,119.80029,-19.464874,-5.668124,DATA
1582891723915,120.12213,-18.275885,-5.5928392,DATA
1582891723947,120.053925,-20.63754,-5.513913,DATA
1582891723953,120.01233,-19.16887,-5.410427,DATA
1582891723971,120.52356,-16.338835,-5.7207804,DATA
1582891723991,120.799805,-17.698397,-5.4574633,DATA
1582891724010,120.74814,-19.146658,-5.6040277,DATA
1582891724031,120.8732,-18.960728,-5.521709,DATA
1582891724050,121.06366,-16.877815,-5.2996664,DATA
1582891724076,121.329865,-16.983116,-5.323495,DATA
1582891724104,121.50906,-18.037127,-5.364552,DATA
1582891724107,121.45093,-19.127897,-5.102014,DATA
1582891724124,121.51932,-18.96863,-5.1539283,DATA
1582891724144,121.69464,-17.9131,-5.1918097,DATA
1582891724164,121.78082,-19.334675,-4.99349,DATA
1582891724184,121.46036,-20.7088,-4.5587087,DATA
